row	column	cor	p	group
155	CytolyticScore	GAGE12C	NA	NA	ASPS
156	T.cells_CD8	GAGE12D	NA	NA	ASPS
157	CytolyticScore	GAGE12D	NA	NA	ASPS
158	T.cells_CD8	GAGE12E	NA	NA	ASPS
159	CytolyticScore	GAGE12E	NA	NA	ASPS
160	T.cells_CD8	GAGE12F	NA	NA	ASPS
161	CytolyticScore	GAGE12F	NA	NA	ASPS
162	T.cells_CD8	GAGE12G	NA	NA	ASPS
163	CytolyticScore	GAGE12G	NA	NA	ASPS
164	T.cells_CD8	GAGE12H	NA	NA	ASPS
165	CytolyticScore	GAGE12H	NA	NA	ASPS
166	T.cells_CD8	GAGE12I	NA	NA	ASPS
167	CytolyticScore	GAGE12I	NA	NA	ASPS
168	T.cells_CD8	GAGE12J	NA	NA	ASPS
169	CytolyticScore	GAGE12J	NA	NA	ASPS
170	T.cells_CD8	GAGE13	NA	NA	ASPS
171	CytolyticScore	GAGE13	NA	NA	ASPS
172	T.cells_CD8	GAGE2A	NA	NA	ASPS
173	CytolyticScore	GAGE2A	NA	NA	ASPS
174	T.cells_CD8	GPAT2	0.00294117647058824	0.991374804556362	ASPS
175	CytolyticScore	GPAT2	0.155882352941176	0.564281969472802	ASPS
176	T.cells_CD8	GPATCH2	0.144117647058824	0.594378288173693	ASPS
177	CytolyticScore	GPATCH2	0.0676470588235294	0.803420313796669	ASPS
178	T.cells_CD8	HEMGN	-0.021492220347022	0.937029732531032	ASPS
179	CytolyticScore	HEMGN	0.00307031719243172	0.990996104787895	ASPS
180	T.cells_CD8	HORMAD1	0.0882352941176471	0.745222094367133	ASPS
181	CytolyticScore	HORMAD1	0.158823529411765	0.556861281085539	ASPS
182	T.cells_CD8	HORMAD2	-0.0637545775849369	0.814542914559528	ASPS
183	CytolyticScore	HORMAD2	-0.0173876120686192	0.949039608268292	ASPS
184	T.cells_CD8	HSPB9	0.664705882352941	0.00496738593748214	ASPS
185	CytolyticScore	HSPB9	0.761764705882353	0.000605342838070566	ASPS
186	T.cells_CD8	IGF2BP3	0.194117647058824	0.471289728362107	ASPS
187	CytolyticScore	IGF2BP3	0.267647058823529	0.316254418548309	ASPS
188	T.cells_CD8	IGSF11	-0.323529411764706	0.221574125001243	ASPS
189	CytolyticScore	IGSF11	-0.232352941176471	0.386511349907985	ASPS
190	T.cells_CD8	IL13RA2	-0.297058823529412	0.263863014613523	ASPS
191	CytolyticScore	IL13RA2	-0.232352941176471	0.386511349907985	ASPS
192	T.cells_CD8	KDM5B	0.0382352941176471	0.888197653985307	ASPS
193	CytolyticScore	KDM5B	-0.158823529411765	0.556861281085539	ASPS
194	T.cells_CD8	KIAA0100	-0.129411764705882	0.63288233246826	ASPS
195	CytolyticScore	KIAA0100	-0.0558823529411765	0.837137221795472	ASPS
196	T.cells_CD8	KIF20B	0.129411764705882	0.63288233246826	ASPS
197	CytolyticScore	KIF20B	0	1	ASPS
198	T.cells_CD8	KIF2C	0.105882352941176	0.696334105038116	ASPS
199	CytolyticScore	KIF2C	0.0941176470588235	0.72881442702398	ASPS
200	T.cells_CD8	LDHC	-0.175223642263777	0.516279285328144	ASPS
201	CytolyticScore	LDHC	-0.239591510850471	0.371458790887701	ASPS
202	T.cells_CD8	LEMD1	0.361275939647976	0.169177385363737	ASPS
203	CytolyticScore	LEMD1	0.270473965511854	0.310973019643574	ASPS
204	T.cells_CD8	LIPI	-0.078540275098037	0.772486898250109	ASPS
205	CytolyticScore	LIPI	-0.208917131760778	0.437448468794095	ASPS
206	T.cells_CD8	LUZP4	-0.194117647058824	0.471289728362107	ASPS
207	CytolyticScore	LUZP4	-0.141176470588235	0.602002683881979	ASPS
208	T.cells_CD8	LY6K	0.252941176470588	0.344563031337499	ASPS
209	CytolyticScore	LY6K	0.441176470588235	0.0871536362605108	ASPS
210	T.cells_CD8	LYPD6B	-0.146828724135006	0.587385349873998	ASPS
211	CytolyticScore	LYPD6B	-0.0676184913779634	0.803501818028988	ASPS
212	T.cells_CD8	MAEL	0.0265487880754859	0.922252205599131	ASPS
213	CytolyticScore	MAEL	-0.0383482494423685	0.88786930283189	ASPS
214	T.cells_CD8	MAGEA1	NA	NA	ASPS
215	CytolyticScore	MAGEA1	NA	NA	ASPS
216	T.cells_CD8	MAGEA10	NA	NA	ASPS
217	CytolyticScore	MAGEA10	NA	NA	ASPS
218	T.cells_CD8	MAGEA11	-0.500483757043903	0.0483282835693151	ASPS
219	CytolyticScore	MAGEA11	-0.530685363072414	0.0344357824549877	ASPS
220	T.cells_CD8	MAGEA12	-0.394073746457511	0.130959617645874	ASPS
221	CytolyticScore	MAGEA12	-0.411986189478307	0.112820958630304	ASPS
222	T.cells_CD8	MAGEA2	0.375362817782927	0.151950422858713	ASPS
223	CytolyticScore	MAGEA2	0.310645090578974	0.241581966439205	ASPS
224	T.cells_CD8	MAGEA2B	0.364072821847283	0.165658125291233	ASPS
225	CytolyticScore	MAGEA2B	0.308061618486162	0.245725166221649	ASPS
226	T.cells_CD8	MAGEA3	0.364072821847283	0.165658125291233	ASPS
227	CytolyticScore	MAGEA3	0.308061618486162	0.245725166221649	ASPS
228	T.cells_CD8	MAGEA4	NA	NA	ASPS
229	CytolyticScore	MAGEA4	NA	NA	ASPS
230	T.cells_CD8	MAGEA5	-0.143166797918176	0.596838878991106	ASPS
231	CytolyticScore	MAGEA5	-0.219863296802913	0.413244081392427	ASPS
232	T.cells_CD8	MAGEA6	-0.0280056016805602	0.917998970628509	ASPS
233	CytolyticScore	MAGEA6	0.252050415125042	0.346322397267912	ASPS
234	T.cells_CD8	MAGEA8	0.18952761306082	0.482038979759261	ASPS
235	CytolyticScore	MAGEA8	0.318263350234207	0.229619959018171	ASPS
236	T.cells_CD8	MAGEA9	-0.194153181611859	0.471206972240834	ASPS
237	CytolyticScore	MAGEA9	-0.0560886969100926	0.836543385335651	ASPS
238	T.cells_CD8	MAGEA9B	NA	NA	ASPS
239	CytolyticScore	MAGEA9B	NA	NA	ASPS
240	T.cells_CD8	MAGEB1	NA	NA	ASPS
241	CytolyticScore	MAGEB1	NA	NA	ASPS
242	T.cells_CD8	MAGEB2	0.196039211763921	0.46682484902655	ASPS
243	CytolyticScore	MAGEB2	0.196039211763921	0.46682484902655	ASPS
244	T.cells_CD8	MAGEB3	NA	NA	ASPS
245	CytolyticScore	MAGEB3	NA	NA	ASPS
246	T.cells_CD8	MAGEB4	NA	NA	ASPS
247	CytolyticScore	MAGEB4	NA	NA	ASPS
248	T.cells_CD8	MAGEB5	NA	NA	ASPS
249	CytolyticScore	MAGEB5	NA	NA	ASPS
250	T.cells_CD8	MAGEB6	0.227970913788562	0.395781751042085	ASPS
251	CytolyticScore	MAGEB6	0.110121543101255	0.684747362126992	ASPS
252	T.cells_CD8	MAGEC1	0.0172580605877208	0.949418849628952	ASPS
253	CytolyticScore	MAGEC1	-0.0474596666162322	0.861443840422031	ASPS
254	T.cells_CD8	MAGEC2	0.343034631522472	0.193350386408641	ASPS
255	CytolyticScore	MAGEC2	0.160533448249432	0.552566620107306	ASPS
256	T.cells_CD8	MAGEC3	0.0488902302030417	0.857306630593283	ASPS
257	CytolyticScore	MAGEC3	0.174819611029058	0.517262392430974	ASPS
258	T.cells_CD8	MORC1	-0.104390784542678	0.700426093306246	ASPS
259	CytolyticScore	MORC1	-0.00307031719243172	0.990996104787895	ASPS
260	T.cells_CD8	NLRP4	-0.13716893965244	0.612453807941518	ASPS
261	CytolyticScore	NLRP4	-0.0869380603430958	0.748854599737811	ASPS
262	T.cells_CD8	NOL4	-0.185095244548225	0.492530084585118	ASPS
263	CytolyticScore	NOL4	-0.289584495502868	0.276639068626816	ASPS
264	T.cells_CD8	NR6A1	-0.191176470588235	0.478164012817028	ASPS
265	CytolyticScore	NR6A1	-0.179411764705882	0.506139539990438	ASPS
266	T.cells_CD8	NUF2	0.258823529411765	0.333072306633608	ASPS
267	CytolyticScore	NUF2	0.0764705882352941	0.778340980960703	ASPS
268	T.cells_CD8	NXF2	0.420633455363145	0.104726279544162	ASPS
269	CytolyticScore	NXF2	0.540375825867982	0.0306948507691636	ASPS
270	T.cells_CD8	NXF2B	0.0388922234131299	0.886288258783786	ASPS
271	CytolyticScore	NXF2B	0.139363800563715	0.606721055310769	ASPS
272	T.cells_CD8	ODF1	-0.132881763328194	0.623712217821713	ASPS
273	CytolyticScore	ODF1	-0.00324101861776082	0.990495532771277	ASPS
274	T.cells_CD8	ODF2	-0.117647058823529	0.664341079162354	ASPS
275	CytolyticScore	ODF2	-0.0294117647058824	0.9138955872505	ASPS
276	T.cells_CD8	ODF3	0.154556551721059	0.567640767464444	ASPS
277	CytolyticScore	ODF3	0.13716893965244	0.612453807941518	ASPS
278	T.cells_CD8	ODF4	0.2286693027873	0.394296345000539	ASPS
279	CytolyticScore	ODF4	0.250241878521951	0.349910072313244	ASPS
280	T.cells_CD8	OIP5	0.155882352941176	0.564281969472802	ASPS
281	CytolyticScore	OIP5	0.123529411764706	0.648542066972341	ASPS
282	T.cells_CD8	OTOA	0.102941176470588	0.704410381816771	ASPS
283	CytolyticScore	OTOA	0.0647058823529412	0.811821451310593	ASPS
284	T.cells_CD8	P4HB	0.00588235294117647	0.982750504419135	ASPS
285	CytolyticScore	P4HB	-0.123529411764706	0.648542066972341	ASPS
286	T.cells_CD8	PAGE1	-0.252050415125042	0.346322397267912	ASPS
287	CytolyticScore	PAGE1	-0.196039211763921	0.46682484902655	ASPS
288	T.cells_CD8	PAGE2	-0.155322545289487	0.565699154857828	ASPS
289	CytolyticScore	PAGE2	0.0560886969100926	0.836543385335651	ASPS
290	T.cells_CD8	PAGE2B	0.126399726092672	0.640883099899619	ASPS
291	CytolyticScore	PAGE2B	0.207425191536693	0.440802485344427	ASPS
292	T.cells_CD8	PAGE3	NA	NA	ASPS
293	CytolyticScore	PAGE3	NA	NA	ASPS
294	T.cells_CD8	PAGE4	-0.420084025208403	0.105228057983522	ASPS
295	CytolyticScore	PAGE4	-0.420084025208403	0.105228057983522	ASPS
296	T.cells_CD8	PAGE5	0.193195689651324	0.473439353243902	ASPS
297	CytolyticScore	PAGE5	0.365139853441002	0.164328484340756	ASPS
298	T.cells_CD8	PASD1	-0.0345161211754416	0.899018184847636	ASPS
299	CytolyticScore	PASD1	0.151008030142557	0.576672158018446	ASPS
300	T.cells_CD8	PBK	0.305882352941176	0.249254298928919	ASPS
301	CytolyticScore	PBK	0.0852941176470588	0.753465069474783	ASPS
302	T.cells_CD8	PIWIL2	-0.0235294117647059	0.931073583667659	ASPS
303	CytolyticScore	PIWIL2	0.15	0.579248630664253	ASPS
304	T.cells_CD8	PLAC1	0.518562978841732	0.0395900379355338	ASPS
305	CytolyticScore	PLAC1	0.440778532015472	0.0874724891789376	ASPS
306	T.cells_CD8	PLEKHA5	-0.170588235294118	0.527609768861268	ASPS
307	CytolyticScore	PLEKHA5	-0.185294117647059	0.492057050205944	ASPS
308	T.cells_CD8	POTEA	NA	NA	ASPS
309	CytolyticScore	POTEA	NA	NA	ASPS
310	T.cells_CD8	POTEB	-0.201089266754552	0.455190869866742	ASPS
311	CytolyticScore	POTEB	-0.138565713225826	0.608803113992946	ASPS
312	T.cells_CD8	POTEC	0.371903240723119	0.156066445039239	ASPS
313	CytolyticScore	POTEC	0.346871291828294	0.188089153903369	ASPS
314	T.cells_CD8	POTED	0.420084025208403	0.105228057983522	ASPS
315	CytolyticScore	POTED	0.364072821847283	0.165658125291233	ASPS
316	T.cells_CD8	POTEE	NA	NA	ASPS
317	CytolyticScore	POTEE	NA	NA	ASPS
318	T.cells_CD8	POTEG	0.102261998512983	0.706279610040662	ASPS
319	CytolyticScore	POTEG	0.17895849739772	0.507232421296939	ASPS
320	T.cells_CD8	POTEH	NA	NA	ASPS
321	CytolyticScore	POTEH	NA	NA	ASPS
322	T.cells_CD8	PRAME	0.101320467350247	0.708873487842773	ASPS
323	CytolyticScore	PRAME	0.328523939590194	0.214110999049255	ASPS
324	T.cells_CD8	PRM1	NA	NA	ASPS
325	CytolyticScore	PRM1	NA	NA	ASPS
326	T.cells_CD8	PRM2	NA	NA	ASPS
327	CytolyticScore	PRM2	NA	NA	ASPS
328	T.cells_CD8	PRSS50	-0.0859688813880881	0.751571727015085	ASPS
329	CytolyticScore	PRSS50	-0.0644766610410661	0.812477017087183	ASPS
330	T.cells_CD8	PRSS54	-0.0280056016805602	0.917998970628509	ASPS
331	CytolyticScore	PRSS54	0.252050415125042	0.346322397267912	ASPS
332	T.cells_CD8	PRSS55	0.121713284480334	0.65340527895813	ASPS
333	CytolyticScore	PRSS55	0.276269836201393	0.300307617150807	ASPS
334	T.cells_CD8	RBM46	0.10524396863137	0.698084503499785	ASPS
335	CytolyticScore	RBM46	0.142943300678427	0.597417838184105	ASPS
336	T.cells_CD8	RGS22	-0.0294117647058824	0.9138955872505	ASPS
337	CytolyticScore	RGS22	0.123529411764706	0.648542066972341	ASPS
338	T.cells_CD8	RNF17	-0.469771564350971	0.0663544016805877	ASPS
339	CytolyticScore	RNF17	-0.349793934606658	0.184144852686335	ASPS
340	T.cells_CD8	ROPN1	-0.0843661487732107	0.756071038936354	ASPS
341	CytolyticScore	ROPN1	-0.0230089496654211	0.932594947680897	ASPS
342	T.cells_CD8	SAGE1	0.268199452444557	0.315218318997881	ASPS
343	CytolyticScore	SAGE1	0.128735737173387	0.63467476088822	ASPS
344	T.cells_CD8	SEMG1	-0.364454443331765	0.165181759725283	ASPS
345	CytolyticScore	SEMG1	-0.482976213520957	0.0580867357588601	ASPS
346	T.cells_CD8	SLCO6A1	-0.100295421618502	0.711700856950898	ASPS
347	CytolyticScore	SLCO6A1	-0.103245286960223	0.703573924306067	ASPS
348	T.cells_CD8	SPA17	-0.158823529411765	0.556861281085539	ASPS
349	CytolyticScore	SPA17	-0.194117647058824	0.471289728362107	ASPS
350	T.cells_CD8	SPACA3	-0.064213379299773	0.813230138677718	ASPS
351	CytolyticScore	SPACA3	-0.0101389546262799	0.970272439605142	ASPS
352	T.cells_CD8	SPAG1	0.25	0.350391479107202	ASPS
353	CytolyticScore	SPAG1	0.0823529411764706	0.761733078752474	ASPS
354	T.cells_CD8	SPAG17	-0.220588235294118	0.411666430497963	ASPS
355	CytolyticScore	SPAG17	-0.111764705882353	0.680273694985841	ASPS
356	T.cells_CD8	SPAG4	0.188235294117647	0.485086609145468	ASPS
357	CytolyticScore	SPAG4	-0.00882352941176471	0.974127994662394	ASPS
358	T.cells_CD8	SPAG6	-0.135294117647059	0.617367408970642	ASPS
359	CytolyticScore	SPAG6	-0.202941176470588	0.450961241722709	ASPS
360	T.cells_CD8	SPAG8	-0.388235294117647	0.137281623672781	ASPS
361	CytolyticScore	SPAG8	-0.376470588235294	0.150648115287631	ASPS
362	T.cells_CD8	SPAG9	-0.726470588235294	0.00143618263507861	ASPS
363	CytolyticScore	SPAG9	-0.729411764705882	0.00134307868238359	ASPS
364	T.cells_CD8	SPANXA1	-0.364072821847283	0.165658125291233	ASPS
365	CytolyticScore	SPANXA1	-0.364072821847283	0.165658125291233	ASPS
366	T.cells_CD8	SPANXA2	-0.364072821847283	0.165658125291233	ASPS
367	CytolyticScore	SPANXA2	-0.364072821847283	0.165658125291233	ASPS
368	T.cells_CD8	SPANXB1	-0.214750196877264	0.424461330541536	ASPS
369	CytolyticScore	SPANXB1	0.0204523997025965	0.940071088193573	ASPS
370	T.cells_CD8	SPANXC	0.0920357986616845	0.734609124638339	ASPS
371	CytolyticScore	SPANXC	0.0971488985873336	0.720401749281279	ASPS
372	T.cells_CD8	SPANXD	NA	NA	ASPS
373	CytolyticScore	SPANXD	NA	NA	ASPS
374	T.cells_CD8	SPANXN1	-0.270994296059404	0.310006572326452	ASPS
375	CytolyticScore	SPANXN1	-0.0536875492193159	0.843458681306687	ASPS
376	T.cells_CD8	SPANXN2	0.140028008402801	0.604990421586917	ASPS
377	CytolyticScore	SPANXN2	0.0280056016805602	0.917998970628509	ASPS
378	T.cells_CD8	SPANXN3	-0.0214559561955645	0.937135787495765	ASPS
379	CytolyticScore	SPANXN3	-0.0750958466844759	0.78223562470803	ASPS
380	T.cells_CD8	SPANXN4	NA	NA	ASPS
381	CytolyticScore	SPANXN4	NA	NA	ASPS
382	T.cells_CD8	SPANXN5	NA	NA	ASPS
383	CytolyticScore	SPANXN5	NA	NA	ASPS
384	T.cells_CD8	SPATA19	0.0456252958182598	0.866753797931219	ASPS
385	CytolyticScore	SPATA19	-0.0675930308418663	0.803574459705715	ASPS
386	T.cells_CD8	SPEF2	0.120588235294118	0.656424514748595	ASPS
387	CytolyticScore	SPEF2	0.0235294117647059	0.931073583667659	ASPS
388	T.cells_CD8	SPO11	NA	NA	ASPS
389	CytolyticScore	SPO11	NA	NA	ASPS
390	T.cells_CD8	SSX1	0.0517741817631624	0.848976881368137	ASPS
