row	column	cor	p	group
55	CytolyticScore	ATF3	-0.120588235294118	0.656424514748595	ASPS
56	T.cells_CD8	ATF4	-0.270588235294118	0.310760627102335	ASPS
57	CytolyticScore	ATF4	-0.435294117647059	0.0919523585057291	ASPS
58	T.cells_CD8	ATF5	0.0558823529411765	0.837137221795472	ASPS
59	CytolyticScore	ATF5	-0.108823529411765	0.688288293957414	ASPS
60	T.cells_CD8	ATF6	-0.132352941176471	0.625106429151613	ASPS
61	CytolyticScore	ATF6	-0.167647058823529	0.534856824581943	ASPS
62	T.cells_CD8	ATF6B	-0.288235294117647	0.278984459737083	ASPS
63	CytolyticScore	ATF6B	-0.344117647058824	0.191855631425543	ASPS
64	T.cells_CD8	ATF7	-0.211764705882353	0.431083247239221	ASPS
65	CytolyticScore	ATF7	-0.211764705882353	0.431083247239221	ASPS
66	T.cells_CD8	ATOH1	-0.193103605760081	0.473654317622431	ASPS
67	CytolyticScore	ATOH1	-0.275351437843078	0.301983009781835	ASPS
68	T.cells_CD8	ATOH7	0.0982501501578149	0.717352803861276	ASPS
69	CytolyticScore	ATOH7	0.264047278549128	0.323054860825966	ASPS
70	T.cells_CD8	ATOH8	0.364705882352941	0.164868397244754	ASPS
71	CytolyticScore	ATOH8	0.432352941176471	0.0944210375347869	ASPS
72	T.cells_CD8	BACH1	-0.320588235294118	0.226045422207982	ASPS
73	CytolyticScore	BACH1	-0.388235294117647	0.137281623672781	ASPS
74	T.cells_CD8	BACH2	0.0264705882352941	0.922480570501729	ASPS
75	CytolyticScore	BACH2	0.0705882352941176	0.795039302337628	ASPS
76	T.cells_CD8	BARHL1	0.334228543096791	0.205786112236671	ASPS
77	CytolyticScore	BARHL1	0.463669655163178	0.070452220292526	ASPS
78	T.cells_CD8	BARHL2	0.366733787489067	0.162355584904312	ASPS
79	CytolyticScore	BARHL2	0.297701545138184	0.262781570204948	ASPS
80	T.cells_CD8	BARX1	-0.0897719154000522	0.740925764694395	ASPS
81	CytolyticScore	BARX1	-0.0897719154000522	0.740925764694395	ASPS
82	T.cells_CD8	BARX2	0.469771564350971	0.0663544016805877	ASPS
83	CytolyticScore	BARX2	0.385280275798638	0.140559655626604	ASPS
84	T.cells_CD8	BATF	0.55	0.0272939727097306	ASPS
85	CytolyticScore	BATF	0.573529411764706	0.0201910380465231	ASPS
86	T.cells_CD8	BATF2	0.102941176470588	0.704410381816771	ASPS
87	CytolyticScore	BATF2	0.135294117647059	0.617367408970642	ASPS
88	T.cells_CD8	BATF3	0.644117647058824	0.00708152408658291	ASPS
89	CytolyticScore	BATF3	0.714705882352941	0.00186274109994744	ASPS
90	T.cells_CD8	BBX	-0.417647058823529	0.107474079399301	ASPS
91	CytolyticScore	BBX	-0.470588235294118	0.0658194725010812	ASPS
92	T.cells_CD8	BCL11A	0.308823529411765	0.244498695798518	ASPS
93	CytolyticScore	BCL11A	0.155882352941176	0.564281969472802	ASPS
94	T.cells_CD8	BCL11B	0.920588235294118	4.32041042719433e-07	ASPS
95	CytolyticScore	BCL11B	0.870588235294118	1.14989348027894e-05	ASPS
96	T.cells_CD8	BCL3	0.285294117647059	0.284138740159563	ASPS
97	CytolyticScore	BCL3	0.361764705882353	0.168558822503884	ASPS
98	T.cells_CD8	BCL6	0.0970588235294118	0.720651308237203	ASPS
99	CytolyticScore	BCL6	0.0970588235294118	0.720651308237203	ASPS
100	T.cells_CD8	BCL6B	0.2	0.4576879050752	ASPS
101	CytolyticScore	BCL6B	0.394117647058824	0.130912854298991	ASPS
102	T.cells_CD8	BHLHA15	0.113985456894281	0.674243359433474	ASPS
103	CytolyticScore	BHLHA15	0.0598906637919104	0.825616831386448	ASPS
104	T.cells_CD8	BHLHA9	0.308061618486162	0.245725166221649	ASPS
105	CytolyticScore	BHLHA9	0.420084025208403	0.105228057983522	ASPS
106	T.cells_CD8	BHLHE22	0.326470588235294	0.217159490579229	ASPS
107	CytolyticScore	BHLHE22	0.155882352941176	0.564281969472802	ASPS
108	T.cells_CD8	BHLHE23	-0.140028008402801	0.604990421586917	ASPS
109	CytolyticScore	BHLHE23	-0.140028008402801	0.604990421586917	ASPS
110	T.cells_CD8	BHLHE41	0.0205882352941176	0.939673739789045	ASPS
111	CytolyticScore	BHLHE41	-0.15	0.579248630664253	ASPS
112	T.cells_CD8	BNC1	0.0529411764705882	0.845610441149366	ASPS
113	CytolyticScore	BNC1	0.0911764705882353	0.737004950173659	ASPS
114	T.cells_CD8	BNC2	0	1	ASPS
115	CytolyticScore	BNC2	0.00294117647058824	0.991374804556362	ASPS
116	T.cells_CD8	BSX	-0.140028008402801	0.604990421586917	ASPS
117	CytolyticScore	BSX	-0.140028008402801	0.604990421586917	ASPS
118	T.cells_CD8	CASZ1	-0.0264705882352941	0.922480570501729	ASPS
119	CytolyticScore	CASZ1	0.0764705882352941	0.778340980960703	ASPS
120	T.cells_CD8	CDC5L	-0.655882352941176	0.00580073696223149	ASPS
121	CytolyticScore	CDC5L	-0.702941176470588	0.00238695266930078	ASPS
122	T.cells_CD8	CDX1	0.135294117647059	0.617367408970642	ASPS
123	CytolyticScore	CDX1	0.273529411764706	0.305323156307405	ASPS
124	T.cells_CD8	CDX2	0.420084025208403	0.105228057983522	ASPS
125	CytolyticScore	CDX2	0.364072821847283	0.165658125291233	ASPS
126	T.cells_CD8	CDX4	-0.407663167715726	0.117027495382427	ASPS
127	CytolyticScore	CDX4	-0.382631218820901	0.143543338496929	ASPS
128	T.cells_CD8	CEBPA	0.265487880754859	0.320323295606031	ASPS
129	CytolyticScore	CEBPA	0.395281955790568	0.129676812499778	ASPS
130	T.cells_CD8	CEBPB	0.202941176470588	0.450961241722709	ASPS
131	CytolyticScore	CEBPB	0.117647058823529	0.664341079162354	ASPS
132	T.cells_CD8	CEBPD	0.479411764705882	0.060239302504316	ASPS
133	CytolyticScore	CEBPD	0.408823529411765	0.115887838148784	ASPS
134	T.cells_CD8	CEBPE	0.102941176470588	0.704410381816771	ASPS
135	CytolyticScore	CEBPE	0.276470588235294	0.299942128492374	ASPS
136	T.cells_CD8	CEBPG	0.120588235294118	0.656424514748595	ASPS
137	CytolyticScore	CEBPG	0.0558823529411765	0.837137221795472	ASPS
138	T.cells_CD8	CIC	-0.317647058823529	0.230573463621845	ASPS
139	CytolyticScore	CIC	-0.297058823529412	0.263863014613523	ASPS
140	T.cells_CD8	CNOT4	-0.426470588235294	0.0994991119375397	ASPS
141	CytolyticScore	CNOT4	-0.552941176470588	0.0263144998706664	ASPS
142	T.cells_CD8	CRAMP1L	-0.114705882352941	0.672291046599723	ASPS
143	CytolyticScore	CRAMP1L	0.0588235294117647	0.828680750033226	ASPS
144	T.cells_CD8	CREB1	0.0382352941176471	0.888197653985307	ASPS
145	CytolyticScore	CREB1	0.1	0.712516370128278	ASPS
146	T.cells_CD8	CREB3	0.167647058823529	0.534856824581943	ASPS
147	CytolyticScore	CREB3	0.00882352941176471	0.974127994662394	ASPS
148	T.cells_CD8	CREB3L1	0.176470588235294	0.513250596736467	ASPS
149	CytolyticScore	CREB3L1	0.205882352941176	0.444284641052144	ASPS
150	T.cells_CD8	CREB3L2	-0.197058823529412	0.464464211225739	ASPS
151	CytolyticScore	CREB3L2	-0.338235294117647	0.200065558778689	ASPS
152	T.cells_CD8	CREB3L3	0.291691675598474	0.272999993560634	ASPS
153	CytolyticScore	CREB3L3	0.337065936247125	0.201724312461615	ASPS
154	T.cells_CD8	CREB3L4	-0.294117647058824	0.268846554622893	ASPS
155	CytolyticScore	CREB3L4	-0.494117647058824	0.0517234422492354	ASPS
156	T.cells_CD8	CREB5	-0.223529411764706	0.405298347282759	ASPS
157	CytolyticScore	CREB5	-0.0676470588235294	0.803420313796669	ASPS
158	T.cells_CD8	CREBL2	0.226470588235294	0.398982926641289	ASPS
159	CytolyticScore	CREBL2	0.0823529411764706	0.761733078752474	ASPS
160	T.cells_CD8	CREBZF	-0.105882352941176	0.696334105038116	ASPS
161	CytolyticScore	CREBZF	-0.135294117647059	0.617367408970642	ASPS
162	T.cells_CD8	CREM	0.261764705882353	0.327410411812586	ASPS
163	CytolyticScore	CREM	0.258823529411765	0.333072306633608	ASPS
164	T.cells_CD8	CRX	NA	NA	ASPS
165	CytolyticScore	CRX	NA	NA	ASPS
166	T.cells_CD8	CSRNP1	0.376470588235294	0.150648115287631	ASPS
167	CytolyticScore	CSRNP1	0.402941176470588	0.121745762952543	ASPS
168	T.cells_CD8	CSRNP2	0.308823529411765	0.244498695798518	ASPS
169	CytolyticScore	CSRNP2	0.317647058823529	0.230573463621845	ASPS
170	T.cells_CD8	CSRNP3	0.247058823529412	0.356275041512577	ASPS
171	CytolyticScore	CSRNP3	0.191176470588235	0.478164012817028	ASPS
172	T.cells_CD8	CTCF	-0.25	0.350391479107202	ASPS
173	CytolyticScore	CTCF	-0.291176470588235	0.273887048419149	ASPS
174	T.cells_CD8	CTCFL	-0.303836130197228	0.252596455740382	ASPS
175	CytolyticScore	CTCFL	-0.324485187589272	0.220133318133956	ASPS
176	T.cells_CD8	CUX1	-0.461764705882353	0.0717684158405381	ASPS
177	CytolyticScore	CUX1	-0.65	0.0064157065211754	ASPS
178	T.cells_CD8	CUX2	-0.0235294117647059	0.931073583667659	ASPS
179	CytolyticScore	CUX2	0.261764705882353	0.327410411812586	ASPS
180	T.cells_CD8	DBP	-0.0441176470588235	0.871122004806598	ASPS
181	CytolyticScore	DBP	-0.208823529411765	0.4376585109498	ASPS
182	T.cells_CD8	DBX1	-0.199410897100316	0.459041203070314	ASPS
183	CytolyticScore	DBX1	-0.253098446319632	0.344252930477087	ASPS
184	T.cells_CD8	DBX2	0.0819757877916737	0.762795073136872	ASPS
185	CytolyticScore	DBX2	0.0258870908815812	0.924184720294692	ASPS
186	T.cells_CD8	DDIT3	0.347058823529412	0.1878344201063	ASPS
187	CytolyticScore	DDIT3	0.167647058823529	0.534856824581943	ASPS
188	T.cells_CD8	DEAF1	0.208823529411765	0.4376585109498	ASPS
189	CytolyticScore	DEAF1	0.247058823529412	0.356275041512577	ASPS
190	T.cells_CD8	DLX1	0.202941176470588	0.450961241722709	ASPS
191	CytolyticScore	DLX1	0.202941176470588	0.450961241722709	ASPS
192	T.cells_CD8	DLX2	0.339955941924788	0.197640909654762	ASPS
193	CytolyticScore	DLX2	0.247240685036209	0.35590964923053	ASPS
194	T.cells_CD8	DLX3	0.311764705882353	0.239800047674113	ASPS
195	CytolyticScore	DLX3	0.279411764705882	0.294617653568414	ASPS
196	T.cells_CD8	DLX4	-0.155882352941176	0.564281969472802	ASPS
197	CytolyticScore	DLX4	-0.25	0.350391479107202	ASPS
198	T.cells_CD8	DLX5	0.258823529411765	0.333072306633608	ASPS
199	CytolyticScore	DLX5	0.329411764705882	0.212801426216213	ASPS
200	T.cells_CD8	DLX6	0.194117647058824	0.471289728362107	ASPS
201	CytolyticScore	DLX6	0.282352941176471	0.289349829063274	ASPS
202	T.cells_CD8	DMBX1	-0.0686643649130512	0.800519136351022	ASPS
203	CytolyticScore	DMBX1	-0.122401693975439	0.651560309155141	ASPS
204	T.cells_CD8	DMRT1	-0.0354863411919798	0.896193752624052	ASPS
205	CytolyticScore	DMRT1	-0.0608337277576797	0.82291110023104	ASPS
206	T.cells_CD8	DMRT2	-0.0558823529411765	0.837137221795472	ASPS
207	CytolyticScore	DMRT2	-0.0529411764705882	0.845610441149366	ASPS
208	T.cells_CD8	DMRT3	0.0970588235294118	0.720651308237203	ASPS
209	CytolyticScore	DMRT3	0.311764705882353	0.239800047674113	ASPS
210	T.cells_CD8	DMRTA1	-0.0529411764705882	0.845610441149366	ASPS
211	CytolyticScore	DMRTA1	-0.235294117647059	0.380355801188657	ASPS
212	T.cells_CD8	DMRTA2	0.138337049960736	0.609400173254655	ASPS
213	CytolyticScore	DMRTA2	0.213392257918157	0.427466711545995	ASPS
214	T.cells_CD8	DMRTB1	NA	NA	ASPS
215	CytolyticScore	DMRTB1	NA	NA	ASPS
216	T.cells_CD8	DMRTC1B	0.0502657760627437	0.853331812622772	ASPS
217	CytolyticScore	DMRTC1B	-0.0486949705607829	0.857871121388739	ASPS
218	T.cells_CD8	DMRTC2	NA	NA	ASPS
219	CytolyticScore	DMRTC2	NA	NA	ASPS
220	T.cells_CD8	DMTF1	0.285294117647059	0.284138740159563	ASPS
221	CytolyticScore	DMTF1	0.294117647058824	0.268846554622893	ASPS
222	T.cells_CD8	DNAJC1	0	1	ASPS
223	CytolyticScore	DNAJC1	-0.138235294117647	0.609665940750183	ASPS
224	T.cells_CD8	DNAJC2	0.485294117647059	0.056717714281912	ASPS
225	CytolyticScore	DNAJC2	0.432352941176471	0.0944210375347869	ASPS
226	T.cells_CD8	DPRX	-0.420084025208403	0.105228057983522	ASPS
227	CytolyticScore	DPRX	-0.420084025208403	0.105228057983522	ASPS
228	T.cells_CD8	DRGX	-0.13434332265597	0.619865128845259	ASPS
229	CytolyticScore	DRGX	-0.104489250954643	0.700155719654664	ASPS
230	T.cells_CD8	DUX4	NA	NA	ASPS
231	CytolyticScore	DUX4	NA	NA	ASPS
232	T.cells_CD8	DUX4L2	NA	NA	ASPS
233	CytolyticScore	DUX4L2	NA	NA	ASPS
234	T.cells_CD8	DUX4L3	NA	NA	ASPS
235	CytolyticScore	DUX4L3	NA	NA	ASPS
236	T.cells_CD8	DUX4L4	NA	NA	ASPS
237	CytolyticScore	DUX4L4	NA	NA	ASPS
238	T.cells_CD8	DUX4L5	NA	NA	ASPS
239	CytolyticScore	DUX4L5	NA	NA	ASPS
240	T.cells_CD8	DUX4L6	NA	NA	ASPS
241	CytolyticScore	DUX4L6	NA	NA	ASPS
242	T.cells_CD8	DUX4L7	NA	NA	ASPS
243	CytolyticScore	DUX4L7	NA	NA	ASPS
244	T.cells_CD8	DUXA	-0.0843661487732107	0.756071038936354	ASPS
245	CytolyticScore	DUXA	-0.0230089496654211	0.932594947680897	ASPS
246	T.cells_CD8	E2F1	0.226470588235294	0.398982926641289	ASPS
247	CytolyticScore	E2F1	0.102941176470588	0.704410381816771	ASPS
248	T.cells_CD8	E2F2	0.405882352941176	0.118791684532375	ASPS
249	CytolyticScore	E2F2	0.294117647058824	0.268846554622893	ASPS
250	T.cells_CD8	E2F3	0.0705882352941176	0.795039302337628	ASPS
251	CytolyticScore	E2F3	0.0911764705882353	0.737004950173659	ASPS
252	T.cells_CD8	E2F4	0.261764705882353	0.327410411812586	ASPS
253	CytolyticScore	E2F4	0.329411764705882	0.212801426216213	ASPS
254	T.cells_CD8	E2F5	0.223529411764706	0.405298347282759	ASPS
255	CytolyticScore	E2F5	0.202941176470588	0.450961241722709	ASPS
256	T.cells_CD8	E2F6	0.247058823529412	0.356275041512577	ASPS
257	CytolyticScore	E2F6	0.0941176470588235	0.72881442702398	ASPS
258	T.cells_CD8	E2F7	0.158823529411765	0.556861281085539	ASPS
259	CytolyticScore	E2F7	-0.00294117647058824	0.991374804556362	ASPS
260	T.cells_CD8	E2F8	0.0411764705882353	0.879653614931831	ASPS
261	CytolyticScore	E2F8	-0.0264705882352941	0.922480570501729	ASPS
262	T.cells_CD8	E4F1	0.117647058823529	0.664341079162354	ASPS
263	CytolyticScore	E4F1	0.138235294117647	0.609665940750183	ASPS
264	T.cells_CD8	EBF1	0.126470588235294	0.640694440816884	ASPS
265	CytolyticScore	EBF1	0.185294117647059	0.492057050205944	ASPS
266	T.cells_CD8	EBF2	-0.152941176470588	0.571744619245462	ASPS
267	CytolyticScore	EBF2	0.0911764705882353	0.737004950173659	ASPS
268	T.cells_CD8	EBF3	0.108823529411765	0.688288293957414	ASPS
269	CytolyticScore	EBF3	-0.00588235294117647	0.982750504419135	ASPS
270	T.cells_CD8	EBF4	0.0911764705882353	0.737004950173659	ASPS
271	CytolyticScore	EBF4	0.0529411764705882	0.845610441149366	ASPS
272	T.cells_CD8	EGR1	0.288235294117647	0.278984459737083	ASPS
273	CytolyticScore	EGR1	0.25	0.350391479107202	ASPS
274	T.cells_CD8	EGR2	0.358823529411765	0.172303862892633	ASPS
275	CytolyticScore	EGR2	0.3	0.258936452562499	ASPS
276	T.cells_CD8	EGR3	0.0764705882352941	0.778340980960703	ASPS
277	CytolyticScore	EGR3	0.0470588235294118	0.862603694666873	ASPS
278	T.cells_CD8	EGR4	0.415370732750347	0.10960228027533	ASPS
279	CytolyticScore	EGR4	0.34582028447587	0.18952097681812	ASPS
280	T.cells_CD8	EHF	0.161764705882353	0.549483143403693	ASPS
281	CytolyticScore	EHF	0.185294117647059	0.492057050205944	ASPS
282	T.cells_CD8	ELF1	0.167647058823529	0.534856824581943	ASPS
283	CytolyticScore	ELF1	0.0911764705882353	0.737004950173659	ASPS
284	T.cells_CD8	ELF2	-0.397058823529412	0.127806009088262	ASPS
285	CytolyticScore	ELF2	-0.547058823529412	0.0283010872421088	ASPS
286	T.cells_CD8	ELF3	0.0911764705882353	0.737004950173659	ASPS
287	CytolyticScore	ELF3	0.176470588235294	0.513250596736467	ASPS
288	T.cells_CD8	ELF4	-0.123529411764706	0.648542066972341	ASPS
289	CytolyticScore	ELF4	-0.270588235294118	0.310760627102335	ASPS
290	T.cells_CD8	ELF5	0.343547973482647	0.192640939357793	ASPS
291	CytolyticScore	ELF5	0.132881763328194	0.623712217821713	ASPS
292	T.cells_CD8	ELK1	0.0617647058823529	0.820241877504489	ASPS
293	CytolyticScore	ELK1	0.0441176470588235	0.871122004806598	ASPS
294	T.cells_CD8	ELK3	0.217647058823529	0.418086841611303	ASPS
295	CytolyticScore	ELK3	0.229411764705882	0.39272049088162	ASPS
296	T.cells_CD8	ELK4	-0.0529411764705882	0.845610441149366	ASPS
297	CytolyticScore	ELK4	-0.0588235294117647	0.828680750033226	ASPS
298	T.cells_CD8	ELMSAN1	0.0470588235294118	0.862603694666873	ASPS
299	CytolyticScore	ELMSAN1	0.0911764705882353	0.737004950173659	ASPS
300	T.cells_CD8	EMX1	-0.226470588235294	0.398982926641289	ASPS
301	CytolyticScore	EMX1	-0.217647058823529	0.418086841611303	ASPS
302	T.cells_CD8	EMX2	-0.103016952098421	0.704201930804693	ASPS
303	CytolyticScore	EMX2	0.0809418909344733	0.765708365525187	ASPS
304	T.cells_CD8	EN1	0.202941176470588	0.450961241722709	ASPS
305	CytolyticScore	EN1	0.405882352941176	0.118791684532375	ASPS
306	T.cells_CD8	EN2	0.14815221273649	0.583983890726141	ASPS
307	CytolyticScore	EN2	0.167412000392234	0.53543792537061	ASPS
308	T.cells_CD8	EOMES	0.185294117647059	0.492057050205944	ASPS
309	CytolyticScore	EOMES	0.0294117647058824	0.9138955872505	ASPS
310	T.cells_CD8	EPAS1	0.2	0.4576879050752	ASPS
311	CytolyticScore	EPAS1	0.282352941176471	0.289349829063274	ASPS
312	T.cells_CD8	ERF	0.570588235294118	0.0209906963682178	ASPS
313	CytolyticScore	ERF	0.479411764705882	0.060239302504316	ASPS
314	T.cells_CD8	ERG	0.217647058823529	0.418086841611303	ASPS
315	CytolyticScore	ERG	0.408823529411765	0.115887838148784	ASPS
316	T.cells_CD8	ESR1	-0.55	0.0272939727097306	ASPS
317	CytolyticScore	ESR1	-0.544117647058823	0.0293363374813764	ASPS
318	T.cells_CD8	ESR2	-0.173529411764706	0.520407514448741	ASPS
319	CytolyticScore	ESR2	-0.264705882352941	0.321804395868615	ASPS
320	T.cells_CD8	ESRRA	-0.367647058823529	0.16123235767559	ASPS
321	CytolyticScore	ESRRA	-0.561764705882353	0.0235370164742807	ASPS
322	T.cells_CD8	ESRRB	0	1	ASPS
323	CytolyticScore	ESRRB	0.2	0.4576879050752	ASPS
324	T.cells_CD8	ESRRG	-0.320588235294118	0.226045422207982	ASPS
325	CytolyticScore	ESRRG	-0.320588235294118	0.226045422207982	ASPS
326	T.cells_CD8	ESX1	0.0840168050416806	0.757052724320427	ASPS
327	CytolyticScore	ESX1	0.140028008402801	0.604990421586917	ASPS
328	T.cells_CD8	ETS1	0.105882352941176	0.696334105038116	ASPS
329	CytolyticScore	ETS1	0.258823529411765	0.333072306633608	ASPS
330	T.cells_CD8	ETS2	-0.0676470588235294	0.803420313796669	ASPS
331	CytolyticScore	ETS2	0.135294117647059	0.617367408970642	ASPS
332	T.cells_CD8	ETV1	0.144117647058824	0.594378288173693	ASPS
333	CytolyticScore	ETV1	-0.0705882352941176	0.795039302337628	ASPS
334	T.cells_CD8	ETV2	0.223529411764706	0.405298347282759	ASPS
335	CytolyticScore	ETV2	0.170588235294118	0.527609768861268	ASPS
336	T.cells_CD8	ETV3	-0.0794117647058823	0.770025319039825	ASPS
337	CytolyticScore	ETV3	-0.0970588235294118	0.720651308237203	ASPS
338	T.cells_CD8	ETV3L	0.0844467612597993	0.755844560639898	ASPS
339	CytolyticScore	ETV3L	0.195560920812167	0.467934236215218	ASPS
340	T.cells_CD8	ETV4	-0.0558823529411765	0.837137221795472	ASPS
341	CytolyticScore	ETV4	-0.0882352941176471	0.745222094367133	ASPS
342	T.cells_CD8	ETV5	0.0735294117647059	0.786679249125857	ASPS
343	CytolyticScore	ETV5	-0.0764705882352941	0.778340980960703	ASPS
344	T.cells_CD8	ETV6	0.511764705882353	0.0427234481633318	ASPS
345	CytolyticScore	ETV6	0.614705882352941	0.0112794740633051	ASPS
346	T.cells_CD8	ETV7	0.482352941176471	0.0584589767747197	ASPS
347	CytolyticScore	ETV7	0.435294117647059	0.0919523585057291	ASPS
348	T.cells_CD8	EVX1	0.0537373290623879	0.843315204954182	ASPS
349	CytolyticScore	EVX1	0.137328729826102	0.612035735279229	ASPS
350	T.cells_CD8	EVX2	-0.330583899011604	0.211080367554684	ASPS
351	CytolyticScore	EVX2	-0.226871303243258	0.398126588272696	ASPS
352	T.cells_CD8	FERD3L	NA	NA	ASPS
353	CytolyticScore	FERD3L	NA	NA	ASPS
354	T.cells_CD8	FEV	-0.00884959602516197	0.974051587071384	ASPS
355	CytolyticScore	FEV	-0.0294986534172066	0.913642099509555	ASPS
356	T.cells_CD8	FEZF1	-0.0382352941176471	0.888197653985307	ASPS
357	CytolyticScore	FEZF1	-0.0205882352941176	0.939673739789045	ASPS
358	T.cells_CD8	FEZF2	0.300891084858308	0.257455106150693	ASPS
359	CytolyticScore	FEZF2	0.279398864511286	0.294640883443163	ASPS
360	T.cells_CD8	FIGLA	-0.289912482666785	0.276070719253793	ASPS
361	CytolyticScore	FIGLA	-0.155525967263953	0.565184004811176	ASPS
362	T.cells_CD8	FIZ1	0.0558823529411765	0.837137221795472	ASPS
363	CytolyticScore	FIZ1	0.0882352941176471	0.745222094367133	ASPS
364	T.cells_CD8	FLI1	0.261764705882353	0.327410411812586	ASPS
365	CytolyticScore	FLI1	0.429411764705882	0.0969364852227237	ASPS
366	T.cells_CD8	FOS	0.135294117647059	0.617367408970642	ASPS
367	CytolyticScore	FOS	0.158823529411765	0.556861281085539	ASPS
368	T.cells_CD8	FOSB	0.123529411764706	0.648542066972341	ASPS
369	CytolyticScore	FOSB	0.202941176470588	0.450961241722709	ASPS
370	T.cells_CD8	FOSL1	0.0617647058823529	0.820241877504489	ASPS
371	CytolyticScore	FOSL1	0.232352941176471	0.386511349907985	ASPS
372	T.cells_CD8	FOSL2	0.161764705882353	0.549483143403693	ASPS
373	CytolyticScore	FOSL2	0.105882352941176	0.696334105038116	ASPS
374	T.cells_CD8	FOXA1	0.117994613668826	0.663403835139343	ASPS
375	CytolyticScore	FOXA1	0.0648970375178544	0.811274843096825	ASPS
376	T.cells_CD8	FOXA2	0.372280903964695	0.155613510497639	ASPS
377	CytolyticScore	FOXA2	0.389559764486263	0.135829500544194	ASPS
378	T.cells_CD8	FOXA3	0.00628322200784296	0.981575169958901	ASPS
379	CytolyticScore	FOXA3	0.0455533595568614	0.866962142320994	ASPS
